696191,6473.9,6683.609899597672,1416,6442,1291,5257,22332,7613,728,1657,3043,14960
658877,3213.1,2265.9467535668173,3898,986,1587,2104,2113,9417,1914,3840,2782,3490
610003,2201.9,2233.4776224533794,1910,584,424,1624,1838,1674,1254,2515,8669,1527
552901,11465.1,9815.149621376131,6852,4843,13733,2580,10816,4713,4048,9022,35755,22289
650263,3917.2,2975.0668160564055,3195,10198,7104,2973,2124,1178,6993,592,3329,1486
644849,1443.3,979.2573767912091,962,1014,3118,2808,184,1071,1791,958,177,2350
673559,1597.5,1075.0057906820782,2900,2696,834,410,866,3184,2328,712,120,1925
808057,396.8,354.9266966572112,748,82,332,97,636,517,1194,75,189,98
550549,6229.7,4990.000522044061,2575,10335,337,2628,5884,1196,5516,11177,5462,17187
571187,7625.0,6613.339186825367,7237,24356,5372,10911,5503,1199,9621,730,1396,9925
710113,1315.7,952.2354803303646,1537,2928,340,1123,761,1634,2653,110,1936,135
744241,2840.9,1770.2353205153263,5715,1209,3975,415,3676,753,4592,877,3838,3359
585239,12329.8,11224.514642513503,4733,1881,9621,2810,16378,2508,22045,37114,22387,3821
561433,20130.9,12593.419801229531,13027,6376,41574,26264,37836,28893,2540,9388,14389,21022
598153,4910.7,5905.060203757453,387,16930,5311,1216,567,15087,1062,1442,637,6468
540737,3939.4,3126.2346105178995,7986,217,3008,3899,10764,1424,4487,4762,1641,1206
783907,1857.4,2512.3068363557827,230,8781,176,1550,3102,200,2523,711,83,1218
724301,1091.0,637.3598669511597,2246,1505,1205,1374,1509,419,328,1561,499,264
546577,9024.5,7040.784065002988,19507,24293,6733,7164,6616,641,6471,1204,9078,8538
596681,7138.8,6278.065319825846,12809,1153,4261,19454,2698,15865,6775,825,1811,5737
529783,9753.7,7385.171982425325,6207,3403,12239,17083,20084,4152,82,14980,336,18971
731123,4943.1,4234.378241253373,2958,13330,4890,2136,805,8830,1168,10810,1317,3187
1038361,38.4,28.039971469315013,17,64,24,82,75,62,23,30,3,4
635209,8564.1,5885.134194731671,8273,4096,5865,5798,9060,12121,15527,21168,1027,2706
580579,5949.8,7585.955942397768,922,1232,9427,763,24228,3502,459,14977,3714,274
567419,3615.3,3126.4886710173764,6776,424,6242,2478,861,10407,178,4167,2576,2044
956677,183.8,117.13991633939304,214,93,113,101,345,98,100,454,131,189
527479,8235.4,8916.996166871442,27633,12175,964,3689,4912,21443,1985,1358,655,7540
531379,2021.4,1744.7650959369862,3975,6163,2065,916,203,2743,547,1235,848,1519
974153,236.2,201.29321896179212,149,730,425,84,349,87,147,76,74,241
903853,543.6,503.24232731359155,162,523,50,263,1522,75,281,1371,341,848
546773,3564.8,2588.0077588755407,2771,2691,1613,1623,1957,1653,3997,7556,2372,9415
807979,564.9,606.1188744792559,111,1654,526,64,1804,187,549,70,285,399
567629,15337.2,11843.527707570916,14370,1283,1046,41366,5756,19217,23691,6202,22933,17508
608197,2247.1,1595.084853542281,1120,2779,838,2441,707,3594,5432,3956,1271,333
913207,900.8,560.8564522228481,1567,772,507,1514,313,907,1861,178,321,1068
846409,12.1,10.48284312579369,8,3,3,15,11,21,4,15,38,3
824737,3612.1,2630.0005114067944,5999,1364,7085,2147,1049,1521,7294,131,3195,6336
874189,759.5,725.9027827471114,1357,762,1599,164,549,196,146,134,2354,334
527773,7645.0,6052.807761692089,10252,3970,666,3542,5498,22388,3817,9153,13047,4117
659119,1508.1,2017.8859952930939,7311,149,1626,859,197,38,915,1208,1843,935
851567,2678.8,1763.0137152047344,5945,4412,3198,1020,2658,77,3065,2009,4014,390
602683,1827.1,1711.8472157292542,820,2506,1387,4291,5631,822,206,1111,1304,193
603089,4884.2,2625.307860042323,8549,3948,7336,3298,5434,2896,3478,9743,2590,1570
626903,6418.3,2750.012729061449,6305,8380,1988,10173,8386,1878,8423,4866,5065,8719
726067,1046.9,1005.0242235886656,366,808,249,2111,3421,650,572,264,247,1781
575269,7755.1,5506.277952482966,11006,14248,18576,2227,3027,5869,2189,9236,1444,9729
550727,3382.9,4019.613201540666,3412,807,14924,2107,1743,1333,4637,522,2687,1657
667763,2390.5,1470.0342342952424,4077,1509,4408,108,2390,1175,4311,2508,569,2850
561263,21130.0,17514.30703739089,31320,3248,5042,12048,16462,59954,40790,7754,26811,7871
564647,2660.8,2062.1152150158828,5767,2647,1533,5045,1134,6146,1606,662,1755,313
542257,2518.2,1348.6833431165376,2164,1799,1247,1077,1518,2051,2311,4751,3037,5227
582133,1212.6,823.0608968964568,3007,2193,566,550,474,1303,728,581,860,1864
536713,31260.9,23224.826287617307,84526,31357,52484,6199,20334,48188,14086,11237,32309,11889
634349,6647.7,4904.744214533516,3888,9477,1082,474,1924,7548,7059,6555,17186,11284
750187,1038.9,678.0280893886329,512,66,1127,293,896,1386,475,1610,1757,2267
584533,3940.8,2766.7897209582084,3028,4788,7581,1667,951,5384,2844,9553,438,3174
766043,2220.5,1752.0647961762145,5380,195,577,449,2350,997,1334,4696,2501,3726
954803,302.2,196.4809405514947,102,369,109,120,330,251,170,738,286,547
547969,2423.3,1803.5487822623484,1924,990,4445,3918,245,1368,6312,966,2529,1536
758717,1100.9,763.7319490501886,1375,2028,433,107,2553,326,1172,1344,1360,311
628883,4307.7,2814.76745220631,2281,1540,760,3263,3616,6152,5420,9851,7986,2208
904279,473.9,434.88859492978196,211,721,152,646,49,531,1528,700,62,139
732349,1496.7,977.5483670898335,689,868,697,1541,3733,1762,716,655,2708,1598
566207,3551.5,2236.199465611241,3618,2438,704,2935,2946,9512,5038,3160,2843,2321
636751,1891.3,1657.6454415827286,1568,5691,3907,496,295,1216,488,2526,659,2067
663193,8553.7,5858.370013066775,3127,7856,8841,18266,13812,13408,1725,1887,2125,14490
540847,7584.6,7843.2389508416745,6856,8150,4082,12231,1078,29160,4573,1532,5215,2969
