153721,1839.44,1654.207123186211,256,401,3163,400,1249,95,522,1996,4974,1140,1348,1576,2313,727,295,3888,324,303,1742,624,5294,1592,2680,3896,2229,588,3464,941,3567,2983,1252,2300,943,484,215,4329,432,4260,1762,1596,1150,444,230,1082,2657,2030,1632,2084,8384,136
137261,2048.1,1508.6078516301047,803,2164,4158,364,1795,5833,7539,4141,519,705,4188,1931,4043,3702,823,1932,1453,1577,3069,743,2705,985,770,910,1285,2430,2685,806,2885,370,2037,693,298,1480,1788,1843,4328,1346,1500,660,2250,2358,4197,968,2003,1337,778,723,3233,1272
167659,1327.5,995.9193993491642,1866,1164,756,217,348,1471,886,2345,1111,754,1665,462,2311,223,250,792,1171,4693,2696,2378,1885,214,3411,4005,290,632,531,709,641,1278,343,1915,380,1337,679,2826,1967,685,1305,1927,2041,1377,1561,2184,1367,252,1197,955,556,366
168437,991.1,850.0402637522532,138,975,698,165,460,655,533,1301,1120,381,261,424,1267,710,394,222,360,878,272,1853,1581,447,909,978,358,318,157,1720,477,830,2788,199,208,1843,200,1042,824,2370,850,248,4389,2344,2680,2094,511,902,741,1556,1292,1632
164119,2347.02,2599.7517919216825,5196,1714,1874,3382,3277,377,1256,1796,2978,2697,284,1127,1516,2920,3548,578,325,348,7815,603,1039,262,678,801,3934,5186,7926,3433,749,3024,1054,946,7144,2994,981,734,54,2117,989,585,1234,778,173,2153,6006,1148,14231,999,1931,457
195667,396.72,394.73611641196453,382,58,227,40,664,41,170,422,216,676,1141,36,283,188,1968,216,710,241,59,173,119,1200,38,220,42,200,516,142,514,584,765,240,352,647,183,213,519,725,32,770,56,31,796,60,201,1431,394,497,381,57
233273,174.52,164.29671207909183,48,143,234,139,53,152,553,102,470,211,320,33,151,209,448,271,93,233,101,50,426,58,525,54,49,220,107,689,63,60,70,57,108,47,52,82,318,83,153,53,85,61,75,174,64,621,87,52,65,154
223451,150.4,70.11390732229948,112,98,224,236,262,179,132,95,277,120,137,221,101,99,176,255,106,138,181,163,99,270,96,153,132,109,126,162,275,182,106,104,97,136,130,35,96,96,286,99,97,126,107,104,122,391,186,33,145,108
215741,438.42,313.3608839660751,972,211,409,162,1300,300,137,183,301,148,366,676,905,517,614,635,188,1063,993,574,418,144,136,226,134,561,129,694,375,263,211,122,402,82,544,144,68,253,1187,675,361,812,213,1038,443,262,304,354,250,462
182731,1570.4,1591.3512874283917,1237,1962,3388,2462,3157,234,691,897,3087,197,230,261,3414,2,389,934,2373,2019,802,159,2677,721,140,2454,2628,324,1531,299,1030,1772,2256,594,111,785,812,6083,4225,7595,1068,285,3815,254,985,677,794,230,714,4026,1129,611
141343,3263.2,2654.8660380516376,1643,740,4559,1424,3364,4889,2212,1395,3677,1463,2857,4066,3560,13092,1233,1033,4498,357,4054,7076,2535,3546,1074,352,6237,1698,3367,2359,10079,1488,1909,4930,1432,5784,4687,4590,1381,1941,7664,4617,101,613,1641,9005,2615,3577,1145,733,4710,158
177329,1250.06,910.7270811829413,269,3007,904,3772,1049,659,4037,1041,2675,666,155,866,1089,1261,1436,349,1713,14,1552,1220,730,1647,237,993,648,1617,1261,1606,484,3081,984,491,69,215,1877,2753,1220,2149,833,1162,263,1803,340,1201,1451,1382,1257,395,776,1844
185761,1598.32,1462.1988844203104,1891,815,627,306,1959,464,6036,2336,446,1825,1451,967,2982,1343,568,848,308,1190,171,1644,904,2246,765,1577,2263,2893,3673,662,261,956,2767,843,1374,326,2612,1120,1962,166,1227,789,246,1333,2318,7701,1291,3075,976,279,594,4540
146137,3823.24,3602.6953218944286,2639,1090,4660,5928,1048,170,6466,1884,11331,4815,3626,2504,1940,1662,825,3925,3590,1202,4069,1591,3403,904,1153,978,2970,3462,2669,2543,3510,1204,1259,627,9038,10622,5153,1220,837,6064,12752,14895,1077,3879,603,1268,3425,13160,1027,2063,4099,10333
180049,877.96,824.4635336993383,130,175,1414,80,807,570,561,830,104,352,188,86,3091,2745,1633,536,710,186,246,928,271,1465,126,588,1182,756,995,830,428,918,351,219,1426,591,569,1876,1812,1403,345,1169,1538,4471,711,411,407,302,874,884,1191,417
185617,603.34,488.6639585645743,451,606,660,987,689,902,303,779,323,547,624,728,1985,955,800,207,230,167,319,455,306,337,468,422,202,106,320,1563,1023,640,793,226,844,147,329,1606,525,354,184,108,1688,423,168,109,347,274,351,260,1059,2268
153773,2560.56,1991.0623813431862,2256,7000,739,6351,1798,210,3549,2920,397,7574,986,2677,2608,6027,526,1238,2676,2730,1674,979,410,4794,1210,1524,4578,3361,922,2976,714,6611,2865,1362,6864,1681,1579,4980,852,379,789,1826,665,5086,865,3419,2803,4069,2009,1126,1181,1613
135557,1745.2,1493.2940902581784,1203,2447,1615,1101,384,671,389,1265,234,6050,2994,633,3520,3725,344,144,3883,158,2375,1083,4998,814,802,796,3193,757,2461,2394,1877,474,908,3070,5739,476,876,1094,1112,1414,1941,70,736,470,998,4447,443,2072,2946,3433,1906,325
166381,2029.3,1641.9670794507422,3683,1168,993,203,4266,3020,543,1666,1063,1518,859,454,3253,1309,419,4422,2844,2639,808,2311,3685,742,353,2060,3615,1442,751,1535,1317,6406,1887,728,1557,1955,2592,804,850,729,8406,709,2103,1192,4234,5022,2969,854,1889,1771,1419,448
194947,653.74,591.6852139440363,465,192,303,157,861,1013,487,695,212,1576,158,156,116,1142,1241,609,102,1834,1257,557,117,223,1373,1730,136,355,294,877,131,122,175,1645,28,1942,264,259,14,1329,121,348,593,570,1090,2116,184,1636,442,1036,305,99
145921,9868.86,10329.354132781003,885,2371,16960,1131,3359,2461,5404,10135,7705,24136,7124,16864,136,3285,3078,3463,7259,24717,6951,6182,9495,3027,4173,17178,13247,38957,3599,10582,32029,785,3337,4497,15246,19021,5768,24132,8958,2165,50542,4577,2228,12553,1930,6662,1645,2517,10878,21318,2013,6778
